1	Korean	Cheap	Financial District	2:00 PM - 10:00 PM	2	FALSE
2	Mexican	Expensive	Gramercy	2:00 PM - 10:00 PM	4	TRUE
3	Chinese	Medium	Harlem	2:00 PM - 10:00 PM	3	FALSE
4	Pizza	Cheap	Chelsea	2:00 PM - 10:00 PM	5	TRUE
5	Italian	Expensive	Greenwich Village	9:00 AM - 5:00 PM	3	FALSE
6	Korean	Medium	Herald Square	2:00 PM - 10:00 PM	3	TRUE
7	Pizza	Cheap	Herald Square	9:00 AM - 5:00 PM	3	TRUE
8	Mexican	Medium	Lower East Side	2:00 PM - 10:00 PM	2	FALSE
9	Italian	Cheap	SoHo	9:00 AM - 5:00 PM	1	TRUE
10	Pizza	Expensive	Flatiron	9:00 AM - 5:00 PM	3	TRUE
11	Pizza	Cheap	West Village	9:00 AM - 5:00 PM	5	TRUE
12	Burgers	Expensive	West Village	2:00 PM - 10:00 PM	4	TRUE
13	Desserts	Expensive	Gramercy	9:00 AM - 5:00 PM	2	FALSE
14	Sushi	Expensive	Battery Park City	9:00 AM - 5:00 PM	3	FALSE
15	Korean	Cheap	Lower East Side	9:00 AM - 5:00 PM	2	TRUE
16	Chinese	Medium	Washington Heights	2:00 PM - 10:00 PM	5	TRUE
17	Burgers	Expensive	Washington Heights	9:00 AM - 5:00 PM	3	FALSE
18	Chinese	Medium	Gramercy	9:00 AM - 5:00 PM	1	FALSE
19	Mexican	Expensive	Inwood	2:00 PM - 10:00 PM	1	FALSE
20	Thai	Cheap	Battery Park City	2:00 PM - 10:00 PM	5	TRUE
21	Mexican	Expensive	Flatiron	9:00 AM - 5:00 PM	1	FALSE
22	Chinese	Expensive	Lower East Side	2:00 PM - 10:00 PM	1	FALSE
23	Italian	Medium	Wall Street	9:00 AM - 5:00 PM	1	TRUE
24	Sushi	Expensive	Flatiron	9:00 AM - 5:00 PM	3	TRUE
25	Pizza	Cheap	Upper East Side	9:00 AM - 5:00 PM	5	TRUE
26	Korean	Expensive	Times Square	9:00 AM - 5:00 PM	3	FALSE
27	Mexican	Expensive	Upper East Side	2:00 PM - 10:00 PM	5	FALSE
28	Italian	Cheap	Lower East Side	2:00 PM - 10:00 PM	4	FALSE
29	Korean	Cheap	NoHo	2:00 PM - 10:00 PM	4	TRUE
30	Italian	Expensive	Upper West Side	2:00 PM - 10:00 PM	4	TRUE
31	Desserts	Medium	Battery Park City	2:00 PM - 10:00 PM	3	TRUE
32	Mexican	Cheap	East Harlem	2:00 PM - 10:00 PM	2	FALSE
33	Sushi	Cheap	Flatiron	9:00 AM - 5:00 PM	5	TRUE
34	Desserts	Expensive	Herald Square	2:00 PM - 10:00 PM	1	TRUE
35	Mexican	Cheap	Hudson Square	2:00 PM - 10:00 PM	5	FALSE
36	Mexican	Expensive	West Village	2:00 PM - 10:00 PM	2	TRUE
